Psys,Ffuel,Porosity,Dparticle,Alpha,Rflat,Tbed,Decay,Fstruct
361306.25,0.7415625,0.49109375,0.0021675,27.168750000000003,1.52625,1236.0625,0.008201875,1.97046875
244550.0,0.8885000000000001,0.29525,0.004708,19.59,1.898,1259.3000000000002,0.004337,1.81625
487715.0,0.80325,0.350875,0.004494,29.835,1.2970000000000002,1582.35,0.0063985,1.488125
257225.0,0.90925,0.465375,0.00183,33.465,1.993,1100.05,0.0093805,1.783875
458270.0,0.9385,0.4992499999999999,0.003484,43.59,1.202,669.1,0.009769,1.71125
437795.0,0.92475,0.3546249999999999,0.003134,16.875,0.179,1439.35,0.0049355,1.943125
329618.75,0.9059375,0.47609375,0.0040525,34.03125,0.67875,1377.4375,0.006241875,1.28359375
444035.0,0.57575,0.468875,0.003794,33.345,1.517,1521.25,0.0042915,0.936875
361550.0,0.9135,0.26375,0.003252,39.93000000000001,0.846,611.9,0.006703,1.60275
160943.75,0.6859375,0.44203125,0.0036025,32.45625,0.80375,863.9375,0.009680625,0.78921875
412445.00000000006,0.81475,0.435125,0.003358,35.385,1.205,1031.15,0.0060485,0.632375
221150.0,0.6525,0.47175,0.002116,31.23,0.034,1100.7,0.006353,0.97975
355700.0,0.725,0.4195,0.003056,25.14,0.028,1437.4,0.005898,1.3105
423170.0,0.5395,0.31925,0.001332,39.69,1.582,705.5,0.004099,1.51875
339856.25,0.9634375,0.46046875,0.0032225,33.01875,1.93875,1379.0625,0.004920625,1.43890625
232655.0,0.82175,0.436625,0.002518,41.355,1.469,418.85,0.0063634999999999,0.530875
484985.0,0.91275,0.469875,0.00117,25.785,1.527,993.45,0.0033045,1.176625
134180.0,0.8109999999999999,0.3415,0.001344,22.74,0.14,1234.6,0.008446,1.5135
241430.0,0.6505,0.35425,0.004268,44.91,1.938,1493.3,0.008523,1.39975
116581.25,0.8659375,0.27671875,0.0012075,29.49375,1.4612500000000002,1569.1875,0.0070643749999999,1.66859375
140615.0,0.90825,0.330625,0.004242,31.995,1.697,960.95,0.0086525,0.299875
252106.25,0.8740625,0.45640625,0.0048175,35.90625,1.29625,1305.9375,0.003608125,0.43703125
402890.0,0.6905,0.38325,0.00206,44.67,0.334,552.1,0.006577,0.26225
440135.0,0.64925,0.439125,0.003186,29.985,1.853,845.25,0.0064895,1.2781249999999995
481670.0,0.8065,0.41875,0.001444,36.63,1.93,442.9,0.007403,1.73925
256445.0,0.90475,0.312375,0.002778,18.405,0.753,1037.65,0.0087855,0.707625
125405.0,0.83825,0.465375,0.004342,34.665,1.6310000000000002,1152.0500000000002,0.0087645,0.912375
453785.0,0.50775,0.441875,0.004022,41.955,1.569,1244.35,0.0059295,1.274625
457685.0,0.64225,0.402875,0.004006,15.165,1.017,810.15,0.0071055,1.712125
304756.25,0.7209375,0.26578125,0.0010275,30.95625,1.57875,1182.4375,0.008595625,1.01890625
196970.0,0.6135,0.28125,0.002988,23.97,0.126,765.3,0.003959,1.17925
464705.0,0.96475,0.316625,0.00407,19.485,0.429,1542.0500000000002,0.0077215,1.045375
434675.0,0.88575,0.365125,0.001286,20.175,1.877,849.1500000000001,0.0095135,1.2256250000000002
285110.0,0.8355,0.39825,0.00334,23.01,0.51,923.9,0.006521,0.6577500000000001
438575.0,0.65325,0.409625,0.002394,42.675,1.225,1413.35,0.0092335,1.951875
380075.00000000006,0.86475,0.352625,0.00453,28.695,1.249,1152.0500000000002,0.0049705,0.917625
289595.0,0.68225,0.487375,0.001658,37.425,0.681,984.35,0.0079105,0.663875
483815.00000000006,0.7242500000000001,0.480875,0.001062,36.19499999999999,0.627,1456.25,0.0098075,0.973625
160895.0,0.91125,0.472125,0.003254,15.255,1.6390000000000002,1285.95,0.0084705,0.686625
311045.0,0.98375,0.329625,0.003634,32.985,0.111,542.35,0.0052014999999999,0.518625
374615.00000000006,0.95525,0.479625,0.004978,35.715,1.707,554.05,0.0069235,0.8143750000000001
452810.0,0.5845,0.38675,0.004996,38.43,0.038,1443.9,0.009489,0.46175
120530.0,0.8815,0.26525,0.004028,16.65,0.0419999999999999,1501.1,0.005667,0.69975
490055.0,0.93025,0.266875,0.0048579999999999,39.075,1.347,513.75,0.0032975,1.885375
440135.0,0.82425,0.351875,0.002578,35.625,1.3210000000000002,1062.35,0.0091285,1.2711249999999998
135740.0,0.537,0.3895,0.001664,34.74,0.956,1567.4,0.008222,0.5615
429215.0,0.70675,0.456125,0.002914,19.935,1.339,1136.45,0.0071404999999999,0.959625
176495.0,0.54425,0.428625,0.001962,40.215,0.313,895.95,0.0060975,1.066375
310655.0,0.59875,0.431375,0.004298,24.405,1.1949999999999998,814.05,0.0059225,0.5816250000000001
296956.25,0.7040625,0.26171875,0.0014925,18.99375,0.64375,1338.4375,0.006478125,0.98390625
437405.0,0.95225,0.496375,0.003514,16.035,0.243,791.95,0.0055305,0.826625
298565.0,0.91625,0.436625,0.003086,22.515,1.6550000000000002,908.95,0.0095345,1.631625
